log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
away_mode,5,Away Mode Triggered,2015-10-10 20:56:26,2015-10-10 18:56:26,93.115.95.201,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
brute_force,5,Invalid Login Attempt,2015-10-10 20:56:26,2015-10-10 18:56:26,93.115.95.201,admin,1,,,
lockout,10,Host or User Lockout,2015-10-10 20:56:26,2015-10-10 18:56:26,,,1,,,expires=2015-10-10 21:11:26expires_gmt=2015-10-10 19:11:26type=brute_force
away_mode,5,Away Mode Triggered,2015-10-10 20:56:28,2015-10-10 18:56:28,46.182.106.190,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-10 22:04:47,2015-10-10 20:04:47,93.115.95.207,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
brute_force,5,Invalid Login Attempt,2015-10-10 22:04:47,2015-10-10 20:04:47,93.115.95.207,admin,1,,,
lockout,10,Host or User Lockout,2015-10-10 22:04:47,2015-10-10 20:04:47,,,1,,,expires=2015-10-10 22:19:47expires_gmt=2015-10-10 20:19:47type=brute_force
away_mode,5,Away Mode Triggered,2015-10-10 22:53:07,2015-10-10 20:53:07,37.187.73.137,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
brute_force,5,Invalid Login Attempt,2015-10-10 22:53:07,2015-10-10 20:53:07,37.187.73.137,admin,1,,,
lockout,10,Host or User Lockout,2015-10-10 22:53:07,2015-10-10 20:53:07,,,1,,,expires=2015-10-10 23:08:07expires_gmt=2015-10-10 21:08:07type=brute_force
away_mode,5,Away Mode Triggered,2015-10-10 22:53:40,2015-10-10 20:53:40,85.25.103.119,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-11 01:01:15,2015-10-10 23:01:15,176.10.99.202,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
brute_force,5,Invalid Login Attempt,2015-10-11 01:01:15,2015-10-10 23:01:15,176.10.99.202,admin,1,,,
lockout,10,Host or User Lockout,2015-10-11 01:01:15,2015-10-10 23:01:15,,,1,,,expires=2015-10-11 01:16:15expires_gmt=2015-10-10 23:16:15type=brute_force
away_mode,5,Away Mode Triggered,2015-10-11 06:48:44,2015-10-11 04:48:44,198.51.75.165,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
brute_force,5,Invalid Login Attempt,2015-10-11 06:48:44,2015-10-11 04:48:44,198.51.75.165,admin,1,,,
lockout,10,Host or User Lockout,2015-10-11 06:48:44,2015-10-11 04:48:44,,,1,,,expires=2015-10-11 07:03:44expires_gmt=2015-10-11 05:03:44type=brute_force
away_mode,5,Away Mode Triggered,2015-10-11 08:31:58,2015-10-11 06:31:58,151.80.44.159,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
brute_force,5,Invalid Login Attempt,2015-10-11 08:31:58,2015-10-11 06:31:58,151.80.44.159,admin,1,,,
lockout,10,Host or User Lockout,2015-10-11 08:31:58,2015-10-11 06:31:58,,,1,,,expires=2015-10-11 08:46:58expires_gmt=2015-10-11 06:46:58type=brute_force
away_mode,5,Away Mode Triggered,2015-10-11 08:37:00,2015-10-11 06:37:00,151.80.44.159,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-11 08:39:23,2015-10-11 06:39:23,151.80.44.159,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-11 08:42:31,2015-10-11 06:42:31,41.0.69.242,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-11 08:42:47,2015-10-11 06:42:47,41.0.69.242,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
brute_force,5,Invalid Login Attempt,2015-10-11 09:35:09,2015-10-11 07:35:09,162.247.72.213,admin,1,,,
lockout,10,Host or User Lockout,2015-10-11 09:35:09,2015-10-11 07:35:09,,,1,,,expires=2015-10-11 09:50:09expires_gmt=2015-10-11 07:50:09type=brute_force
away_mode,5,Away Mode Triggered,2015-10-14 07:36:54,2015-10-14 05:36:54,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:37:10,2015-10-14 05:37:10,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:38:15,2015-10-14 05:38:15,196.212.64.138,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:40:59,2015-10-14 05:40:59,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:41:19,2015-10-14 05:41:19,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:42:33,2015-10-14 05:42:33,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:52:08,2015-10-14 05:52:08,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:52:53,2015-10-14 05:52:53,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:53:51,2015-10-14 05:53:51,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:54:04,2015-10-14 05:54:04,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:54:44,2015-10-14 05:54:44,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-10-14 07:55:50,2015-10-14 05:55:50,196.34.166.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
